id|wkt
1532|MULTIPOLYGON(((11.2181794190148 47.4150643241044,11.2185759456142 47.4148507711995,11.2181504980013 47.4145862837394,11.2181402350704 47.4148417905277,11.2181591496236 47.4149842823013,11.2181794190148 47.4150643241044)))
1542|MULTIPOLYGON(((10.02919176517 47.3761175656284,10.0291909210617 47.3761411812523,10.0292071958104 47.376161788835,10.0292539952817 47.3761683568819,10.0296065401851 47.3761585433109,10.0295088548821 47.3759861940971,10.0292421118935 47.3759912036515,10.0292228980955 47.3760339744349,10.02919176517 47.3761175656284)))
1575|MULTIPOLYGON(((9.99138643355202 47.3816895881029,9.99136597886556 47.3813365703984,9.99114629218775 47.3813479299522,9.99109938518781 47.3816892685821,9.99138643355202 47.3816895881029)))
1582|MULTIPOLYGON(((9.88487736150132 47.3783436830771,9.88502687705137 47.3785323246848,9.8851177294841 47.3785252592559,9.88495064799138 47.3783185339063,9.88487736150132 47.3783436830771)))
1605|MULTIPOLYGON(((9.90997040978327 47.36864807983,9.90997559581523 47.3687462242375,9.91195750345231 47.3687451099371,9.91195852651449 47.3686409103542,9.90997040978327 47.36864807983)))
1611|MULTIPOLYGON(((9.90909618466027 47.387114895738,9.90863525355509 47.387105528866,9.90867837665346 47.3874224660801,9.90917928581976 47.38761726415,9.90923590792373 47.3871177505137,9.90909618466027 47.387114895738)))
1623|MULTIPOLYGON(((15.2749347222994 46.6734018469883,15.274931941573 46.6734517399011,15.2756089886467 46.6729719608524,15.2755989705064 46.6729625293986,15.2750454404701 46.6732930632544,15.2749767992853 46.6733520440787,15.2749347222994 46.6734018469883)))
1624|MULTIPOLYGON(((14.7416740380412 46.9709475825512,14.7418743629137 46.9709720547438,14.7419724087431 46.9703088683012,14.7418716857041 46.9702554808944,14.7417717247764 46.9702174908015,14.7416740380412 46.9709475825512)))
1635|MULTIPOLYGON(((12.5759592700767 46.7246862417287,12.5765669853752 46.7247150378952,12.5765918575905 46.7246259157054,12.5761912838186 46.7246546889939,12.5759592700767 46.7246862417287)))
1641|MULTIPOLYGON(((12.568959715085 46.727772081737,12.5676087671044 46.7287719457727,12.5694952788548 46.7293605129463,12.5692196698179 46.7283432457613,12.569053807782 46.7279357145843,12.568959715085 46.727772081737)))
1711|MULTIPOLYGON(((16.8842046833832 47.7474212416657,16.8870843524582 47.7459595252067,16.886902847638 47.745837107111,16.8836871229133 47.7474509881128,16.8837527598207 47.7476499507578,16.8842046833832 47.7474212416657)))
1712|MULTIPOLYGON(((16.8130730057783 47.7525862659542,16.8130179248768 47.752644684601,16.8159336717006 47.7539745213486,16.8160050763374 47.7539232269979,16.8130730057783 47.7525862659542)))
1713|MULTIPOLYGON(((16.8335199984686 47.7561104779163,16.8335517565877 47.7562088409935,16.8374311663701 47.7565333195066,16.8374267635275 47.7563386432804,16.8335187663974 47.755982053167,16.8335199984686 47.7561104779163)))
1714|MULTIPOLYGON(((16.834616710609 47.7818933985086,16.837078234297 47.7828596020408,16.8372459336547 47.7826662896977,16.8352490084624 47.7818847154359,16.834616710609 47.7818933985086)))
1716|MULTIPOLYGON(((16.8407154440037 47.7842872848111,16.8410377346323 47.7841501540174,16.837299269194 47.7826871658932,16.8371298209781 47.7828799010398,16.8407154440037 47.7842872848111)))
1724|MULTIPOLYGON(((16.8704543586822 47.9325197641555,16.8705038822148 47.9324828745663,16.8693926042965 47.9319670669677,16.8693983397345 47.9320222861936,16.8704543586822 47.9325197641555)))
1725|MULTIPOLYGON(((16.8896622684593 47.927926608379,16.8915898972262 47.9296118038491,16.8916462545246 47.9295808633848,16.8897289200167 47.9279030072123,16.8896622684593 47.927926608379)))
1740|MULTIPOLYGON(((13.4356384975048 46.7212478526406,13.4358591991598 46.7215400236766,13.4361157365201 46.7216278135094,13.4362859279875 46.7216276628142,13.4364688430103 46.7216099458554,13.4368897584386 46.7214515699718,13.4368596419256 46.7208902059668,13.4366271655131 46.7207805947626,13.436309907619 46.7208025071481,13.4356292765625 46.7209261173698,13.4356384975048 46.7212478526406)))
1749|MULTIPOLYGON(((11.6951269139374 47.3427462699505,11.6976859849105 47.3416251451431,11.6975604248325 47.3414840311082,11.6949901444953 47.3426012842745,11.6951269139374 47.3427462699505)))
1771|MULTIPOLYGON(((14.2889439296547 46.9443896590742,14.2895236476436 46.9439163977539,14.288757334446 46.9438008415539,14.2882960313473 46.9439221086744,14.2882905984724 46.9441890505707,14.2884827492861 46.9443682722357,14.2887746941172 46.9444454132858,14.2889439296547 46.9443896590742)))
1780|MULTIPOLYGON(((13.4446873572878 46.7158186894664,13.4448098114353 46.7159368478457,13.4450759193006 46.7159636119992,13.4450125755243 46.7157839779845,13.4448806167253 46.7157010103715,13.4447269696765 46.7157540382034,13.4446873572878 46.7158186894664)))
1848|MULTIPOLYGON(((12.9181998297477 48.0101256648844,12.9181990532185 48.0101489447245,12.9198568824806 48.0104542623297,12.9198514958973 48.0104303665651,12.9181998297477 48.0101256648844)))
1857|MULTIPOLYGON(((13.0726810752738 46.6571399682621,13.0729083642915 46.6582344518351,13.0731785734326 46.6582082053643,13.0729296385496 46.6571349696676,13.0726810752738 46.6571399682621)))
1878|MULTIPOLYGON(((15.2964805126527 46.6674198319758,15.2963722717846 46.6674231252807,15.2963146659679 46.6674691560164,15.2962606128966 46.6677505363845,15.2965110570911 46.6677787234059,15.2965489147189 46.667781044974,15.2965950657791 46.6674250245085,15.2964805126527 46.6674198319758)))
1933|MULTIPOLYGON(((13.0789828213982 46.6573208473099,13.0784929026959 46.6560891453689,13.0783910238333 46.6561034171662,13.0788801152384 46.6573545169324,13.0789828213982 46.6573208473099)))
